@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.349213324,0.12938758,0.226164801,2.592073394,0.417177024,10.48347031,3.808946769,3.498432688,7.544073097,22.60771283,28.78372663,0.010918887,79478.19502
0.346762425,0.161960036,0.288601039,1.682874159,0.359451407,6.210864972,3.627776121,4.597940895,6.901231033,22.58526997,25.85711209,0.011971324,67201.35092
0.515402485,0.150197692,0.309680128,1.68649314,0.445270643,8.14551781,3.428963894,3.310907461,3.29640949,22.57849863,26.62836176,0.009914853,57604.89811
0.366674641,0.115773613,0.248110867,3.020618257,0.409483464,7.724332975,3.254743513,4.011679648,5.907169866,23.8641219,26.19036422,0.00956457,74490.99807
0.452374271,0.118881677,0.243180303,1.497268544,0.45895863,8.291251263,3.903216469,2.955078047,2.414007786,22.56051581,26.67597736,0.011173009,53419.35703
0.503110121,0.143997703,0.222282777,1.556075028,0.349327039,9.31593336,2.901439363,2.842010031,5.896863811,22.55088441,25.33448693,0.012442409,75336.13497
0.3477897,0.096884515,0.393947959,2.613787574,0.411985453,9.833667862,3.358773897,3.957149561,2.741234524,22.54038101,27.60998507,0.009587311,61198.11328
0.336329659,0.113849207,0.283484349,2.696934942,0.327509839,10.94343574,3.23741805,3.67982814,4.131444331,22.53409002,27.69261943,0.012611604,69733.94462
0.344178428,0.094082619,0.233035992,1.737412782,0.452639152,6.989806935,3.225830236,4.500182344,5.556068176,22.52053757,24.4616232,0.012789425,68576.41437
0.309587888,0.146144703,0.303203921,2.176554489,0.378285172,10.41787418,3.738123075,3.963281072,6.362343827,22.51055672,28.22816277,0.010994966,73408.98479
0.693414192,0.113762134,0.217535333,1.58007143,0.429129901,6.781065184,3.691104953,3.508810511,6.669584593,22.49864501,25.87922776,0.014915801,69258.07767
0.311730634,0.141865934,0.23739762,1.779727465,0.489361915,8.60845452,3.240030909,3.081377323,5.103875984,22.47758096,23.88886431,0.010561622,72690.19752
0.44138473,0.097954448,0.396639419,2.004726349,0.372318819,9.962831914,3.198304935,3.824510494,5.273582928,22.47498948,24.9321185,0.012356671,74389.7488
0.440057644,0.143334694,0.355448281,2.869497601,0.489035649,6.730635389,3.530835245,4.352047663,2.863407835,22.46359354,25.47792479,0.011374389,54800.96701
0.434680995,0.152924723,0.246532944,2.282757544,0.4773593,6.549506343,2.951817414,3.608743531,2.254088693,23.84949829,24.14621034,0.012894654,59086.14919
0.50105964,0.10630446,0.341086936,2.120699393,0.354151552,8.888114389,2.97640982,3.038684773,6.502643853,22.44814276,24.13206515,0.014208143,80961.58893
