@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.409965657,0.118914586,0.264500252,1.922526817,0.377345913,8.68179579,2.985198701,4.002127149,9.638001221,23.89518165,28.80766665,5,87408.24825
0.333826498,0.093682858,0.208937106,2.920762608,0.481671135,10.88269946,2.981631542,2.890541964,8.60909194,22.79362814,28.41176862,5,90884.93594
0.436441455,0.123735685,0.267955552,1.689126548,0.388696239,9.207951779,2.993175719,3.83479676,10.61061193,23.89188037,26.39453632,5,94830.71543
0.406194217,0.130191525,0.258485057,1.854064816,0.389210756,9.32905392,3.212039505,3.918874409,9.973721815,23.87164574,27.58742179,3,90351.88921
0.406896591,0.123167679,0.256264818,1.974655627,0.387740882,9.224237746,2.964007602,3.96418446,9.948791569,23.8641219,26.19036422,3,93220.13863
0.413914726,0.13766436,0.256051694,1.917338545,0.398186918,8.864727179,2.909060515,3.900142567,7.920004274,23.84949829,24.14621034,4,86862.5112
0.427719653,0.121051783,0.261263946,1.986518416,0.399425563,9.694225512,2.939591899,3.85196754,8.543468759,23.83330168,25.75105887,4,89062.0627
0.402749247,0.116789019,0.254933497,1.944390499,0.396739822,9.498622832,2.916916178,4.027791583,9.700645025,23.82922531,26.96941141,3,91980.1108
0.404742717,0.11999712,0.256462458,1.939853883,0.369979293,9.153202624,2.970651009,3.912702654,9.135203744,23.81459999,26.66191993,3,88966.19069
0.413498026,0.141422202,0.256353334,1.842190597,0.381629462,9.287142824,3.1315232,3.858633466,10.55729567,23.80453283,27.4596922,4,92659.93663
0.46373324,0.130757471,0.269740871,1.97383338,0.376060389,9.38181956,3.031222699,3.888515493,10.36023542,23.78507155,25.50717586,5,95446.15344
0.398437717,0.122891833,0.273576349,1.953827366,0.38577227,9.196595488,2.933295489,3.810877423,9.715516318,23.78377944,24.55072637,3,95146.04664
0.320519421,0.096961597,0.229345183,3.05193325,0.487050611,10.97211589,3.016099479,3.008496967,8.311314685,22.77695331,28.49658171,4,89627.74478
0.39893117,0.134446875,0.26923322,1.912764863,0.374405645,9.222084483,2.979158925,4.064507718,8.374549776,23.76636278,24.56193736,3,88094.27959
0.422530613,0.11716972,0.262620585,1.985124619,0.399013164,9.22819486,2.9926567,4.135682155,9.79266407,23.75467176,28.526039,3,89635.88324
0.401353717,0.124934476,0.26106467,1.826026204,0.392298527,9.490154013,2.919411499,4.10480351,9.689772322,23.74243424,26.64152016,5,91078.15391
0.411785759,0.116215791,0.293249209,1.986172879,0.382111749,9.603165242,3.095452058,3.918184681,8.98171962,23.72714972,27.71117165,5,87228.95989
0.419928363,0.133863961,0.257080409,1.975779213,0.376392777,9.542443254,2.92283424,4.158009318,9.452618348,23.71591642,25.07536597,3,92694.64329
0.399027148,0.140143178,0.252676295,1.909286588,0.392188434,9.192357961,3.006551218,4.07303784,9.02757691,23.70083049,28.95819575,4,84839.60872
0.400424511,0.126749856,0.280003643,1.963432211,0.385613748,8.910189494,3.092748135,3.82407206,9.464573665,23.68860778,27.67397217,4,87667.51165
0.417017774,0.115890716,0.250541071,1.947303155,0.392907333,9.509774824,2.974032249,4.028478517,9.574855438,23.68270568,26.51317793,4,91362.17685
0.43474975,0.142104903,0.253799961,1.887984636,0.388420059,9.360027721,3.01384077,4.032166056,10.71568975,23.66557982,24.50778684,3,98090.82925
0.400323873,0.121612888,0.26819508,1.81266511,0.371739864,9.652948513,2.975688327,3.904127304,8.627247353,23.65618376,25.95277673,3,88102.81722
0.313247276,0.097348219,0.226655418,3.225287447,0.486097617,10.42036021,2.917680343,3.124848106,8.141483472,22.76952324,25.53601896,4,92814.88771
0.404120224,0.127659628,0.258881098,1.925210474,0.393910054,9.631996244,2.938563376,3.8460228,9.070294962,23.64045249,25.54455582,3,90903.28058
0.409057829,0.131361168,0.25530067,1.902168135,0.373197498,9.615630093,2.901804711,3.917248756,9.326746454,23.63693183,28.41227571,3,88453.2597
0.443459324,0.132153253,0.268139517,1.928474745,0.393053153,9.52365921,3.058922549,4.019460021,7.985419077,23.6210226,25.15158382,3,85622.96913
0.400674177,0.128199349,0.264922378,1.900164046,0.391187911,9.047322448,2.954587693,3.93474701,9.042339742,23.61514062,25.19690173,3,89699.99621
0.405594486,0.121759276,0.250760672,1.981471471,0.38999313,9.665500531,3.047804813,4.06890799,8.738541255,23.6020142,25.5807431,3,88920.76287
