@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.311287454,0.109483309,0.209743666,3.047063173,0.4745046,10.41112976,3.018165387,2.905740341,4.218905871,19.76548271,24.9249637,0.010275352,70343.55477
0.430760702,0.130494878,0.255913165,1.788082223,0.39510464,10.93581749,3.03183048,4.215466321,5.780805733,21.37199643,24.77722755,0.01175201,75434.70245
0.412174486,0.131842571,0.259869351,1.961228211,0.376929636,9.927989487,2.95772229,3.931111183,2.386318026,21.68471275,24.75881556,0.014656575,60117.47009
0.399912435,0.127409625,0.254991025,1.886848053,0.387608406,10.30050027,2.925233909,3.942892125,7.374425494,19.13662538,25.35683742,0.009549358,78026.81221
0.400175008,0.128671321,0.27722624,1.862958028,0.385324971,10.63362242,3.012895051,3.906943091,5.297795061,18.91820138,24.87835052,0.013582651,69637.67245
0.402271661,0.119561647,0.264254366,1.911125324,0.393370922,10.93230739,3.247626464,3.991759473,4.053090104,21.44579636,24.08678645,0.014773829,69150.6819
0.432953791,0.135544772,0.270458999,1.874802147,0.393635591,10.45702447,3.014067641,4.327179629,4.92712079,21.79649228,24.40285754,0.013736179,71823.78009
0.409206446,0.128891873,0.287943894,1.921648846,0.384197098,10.58521328,2.950557612,3.808944364,3.617655863,23.28752048,23.79332839,0.014733895,71887.33678
0.44566743,0.158306591,0.253726822,1.79135464,0.395904447,10.43274774,2.933479146,4.016580788,2.935848827,21.1400434,27.09154019,0.014588156,59158.67447
0.441934977,0.136524394,0.260451514,1.987746329,0.395706952,10.78543256,2.986762508,4.013417532,5.499280704,22.85364614,23.01971918,0.01212879,80513.42551
0.399826051,0.149410478,0.259329882,1.827200622,0.384260143,10.61289088,3.021645814,3.966294897,2.949699535,20.92483634,25.98402156,0.011356105,60427.33377
0.30997316,0.103274466,0.231240549,3.22377131,0.461134855,10.35509824,2.901997584,2.943097439,6.83432942,19.87499066,24.0637438,0.012042502,84433.50018
0.44316583,0.120956652,0.272894224,1.98376583,0.399159424,9.914982104,3.076404748,4.046850842,2.264714811,18.33545087,28.30118991,0.01076605,51273.47824
